City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Kashipur,IN,2022-01-29 02:26:46,29.2167,78.95,45.61,80,0,2.59
236,Yangambi,CD,2022-01-29 02:26:46,0.8102,24.4336,69.6,82,100,0.96
237,Tuatapere,NZ,2022-01-29 02:26:46,-46.1333,167.6833,68.83,39,100,3.09
238,Half Moon Bay,US,2022-01-29 02:26:47,37.4636,-122.4286,60.66,61,0,3.44
239,Zemio,CF,2022-01-29 02:26:47,5.0314,25.1361,65.64,30,32,4.41
240,Ojinaga,MX,2022-01-29 02:26:47,29.5667,-104.4167,50.95,37,0,8.05
241,Coquimbo,CL,2022-01-29 02:26:48,-29.9533,-71.3436,62.33,82,0,6.91
242,Buala,SB,2022-01-29 02:26:48,-8.145,159.5921,84.13,73,100,3.78
243,Hambantota,LK,2022-01-29 02:26:48,6.1241,81.1185,77.34,100,40,2.3
244,Mango,US,2022-01-29 02:26:49,27.9797,-82.3065,61.12,84,100,5.75
245,Santiago,CL,2022-01-29 02:25:00,-33.4569,-70.6483,71.29,54,0,9.22
246,Lebu,CL,2022-01-29 02:26:49,-37.6167,-73.65,58.68,92,2,4.12
247,Nelson Bay,AU,2022-01-29 02:26:49,-32.7167,152.15,88.75,63,0,4.0
248,Jalu,LY,2022-01-29 02:26:50,29.0331,21.5482,53.02,75,92,8.03
249,Belmonte,BR,2022-01-29 02:26:50,-15.8631,-38.8828,77.5,85,61,7.02
250,Norman Wells,CA,2022-01-29 02:26:50,65.282,-126.8329,-7.56,71,100,10.36
251,Popondetta,PG,2022-01-29 02:26:51,-8.7537,148.2534,87.89,59,100,5.41
252,Quito,EC,2022-01-29 02:26:51,-0.2299,-78.5249,49.15,91,100,1.3
253,Butaritari,KI,2022-01-29 02:26:51,3.0707,172.7902,81.48,79,36,16.13
254,Mar Del Plata,AR,2022-01-29 02:24:25,-38.0023,-57.5575,66.87,72,0,11.01
255,Fairbanks,US,2022-01-29 02:26:52,64.8378,-147.7164,3.16,58,0,0.0
256,Gat,IL,2022-01-29 02:23:34,31.61,34.7642,48.4,100,99,6.73
257,Avera,US,2022-01-29 02:26:52,33.194,-82.5271,43.48,61,44,18.75
258,La Ronge,CA,2022-01-29 02:26:53,55.1001,-105.2842,10.65,85,100,5.75
259,Vardo,NO,2022-01-29 02:26:53,70.3705,31.1107,32.07,57,100,21.03
260,Akureyri,IS,2022-01-29 02:26:53,65.6835,-18.0878,24.73,93,100,28.77
261,Deputatskiy,RU,2022-01-29 02:26:54,69.3,139.9,-23.48,99,89,1.68
262,Moranbah,AU,2022-01-29 02:26:54,-22.0016,148.0466,88.14,44,76,16.51
263,Mount Gambier,AU,2022-01-29 02:26:54,-37.8333,140.7667,71.51,64,100,18.41
264,Yumen,CN,2022-01-29 02:26:55,40.2833,97.2,20.17,41,5,7.18
265,Marzuq,YE,2022-01-29 02:26:55,14.4,46.4667,57.79,30,16,3.51
266,Henties Bay,NA,2022-01-29 02:26:55,-22.116,14.2845,62.85,83,97,6.62
267,Markova,UA,2022-01-29 02:26:56,48.6758,24.4138,26.17,93,100,11.18
268,Antofagasta,CL,2022-01-29 02:26:56,-23.65,-70.4,65.48,80,61,4.32
269,Dingle,PH,2022-01-29 02:26:56,10.9995,122.6711,84.36,70,85,3.8
270,Aksarka,RU,2022-01-29 02:26:57,66.5606,67.7975,-1.03,95,100,8.23
271,Praia Da Vitoria,PT,2022-01-29 02:26:57,38.7333,-27.0667,56.75,88,20,11.16
272,Berlevag,NO,2022-01-29 02:26:57,70.8578,29.0864,29.64,60,100,11.77
273,Kumba,CM,2022-01-29 02:27:58,4.6363,9.4469,71.53,66,100,1.39
274,Okha,RU,2022-01-29 02:27:58,53.5739,142.9478,-8.3,88,8,13.65
275,Husavik,IS,2022-01-29 02:27:58,66.0449,-17.3389,24.71,95,100,30.74
276,Klaksvik,FO,2022-01-29 02:27:58,62.2266,-6.589,40.12,92,100,12.41
277,Dovers,VC,2022-01-29 02:27:59,12.8833,-61.1833,77.52,75,2,13.27
278,Manggar,ID,2022-01-29 02:27:59,-2.8833,108.2667,82.81,68,100,5.61
279,Kuminskiy,RU,2022-01-29 02:28:00,58.6667,66.5667,-4.67,100,91,3.27
280,Jumla,NP,2022-01-29 02:28:00,29.2747,82.1838,33.84,31,0,5.1
281,Pochutla,MX,2022-01-29 02:28:00,15.7432,-96.4661,79.65,90,5,4.23
282,Goderich,CA,2022-01-29 02:28:00,43.7501,-81.7165,3.52,72,80,8.05
283,Saldanha,ZA,2022-01-29 02:28:01,-33.0117,17.9442,57.25,82,0,13.24
284,Huarmey,PE,2022-01-29 02:28:01,-10.0681,-78.1522,70.72,82,100,8.5
285,Balikpapan,ID,2022-01-29 02:28:01,-1.2675,116.8289,81.59,83,20,4.61
286,Mugur-Aksy,RU,2022-01-29 02:28:02,50.35,90.5,-17.0,72,1,6.24
287,Kuching,MY,2022-01-29 02:26:28,1.55,110.3333,82.62,83,20,2.3
288,Banjar,ID,2022-01-29 02:28:02,-8.19,114.9675,85.91,81,100,1.16
289,Severo-Kurilsk,RU,2022-01-29 02:28:02,50.6789,156.125,23.58,74,100,27.92
290,Nuristan,AF,2022-01-29 02:28:03,35.3,70.8333,7.68,80,49,9.62
291,Katsuura,JP,2022-01-29 02:28:03,35.1333,140.3,42.91,81,100,9.22
292,Nabire,ID,2022-01-29 02:28:04,-3.3667,135.4833,84.74,68,95,3.33
293,Edd,ER,2022-01-29 02:28:04,13.9297,41.6925,76.51,81,20,5.28
