City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
170,Danilovka,50.3557,44.1168,30.04,97,100,14.23,RU,2022-01-30 01:26:00,light snow
171,Deep River,46.1001,-77.4995,-4.05,91,5,4.27,CA,2022-01-30 01:26:00,clear sky
172,Waipawa,-41.4122,175.5153,71.29,44,8,11.77,NZ,2022-01-30 01:26:01,clear sky
173,Los Llanos De Aridane,28.6585,-17.9182,58.75,75,100,10.0,ES,2022-01-30 01:18:55,haze
174,Nishihara,26.1842,127.7558,64.06,94,100,8.05,JP,2022-01-30 01:19:02,overcast clouds
175,Santa Isabel Do Rio Negro,-0.4139,-65.0192,75.09,93,100,2.53,BR,2022-01-30 01:26:01,moderate rain
176,Svetlogorsk,52.6333,29.7333,26.47,95,100,18.34,BY,2022-01-30 01:26:01,snow
177,Bambous Virieux,-20.3428,57.7575,79.05,78,20,3.44,MU,2022-01-30 01:26:02,few clouds
178,Samarai,-10.6167,150.6667,81.59,73,100,5.66,PG,2022-01-30 01:23:12,overcast clouds
179,Cedar City,37.6775,-113.0619,38.39,31,0,3.44,US,2022-01-30 01:14:04,clear sky
180,Filadelfia,39.9523,-75.1638,19.54,49,0,7.0,US,2022-01-30 01:14:58,clear sky
181,Penzance,50.1186,-5.5371,46.76,81,6,6.89,GB,2022-01-30 01:26:02,clear sky
182,Port Elizabeth,-33.918,25.5701,66.49,88,0,6.91,ZA,2022-01-30 01:24:42,clear sky
183,Komsomolskiy,40.4272,71.7189,34.52,93,75,6.91,UZ,2022-01-30 01:26:03,fog
184,Ribeira Grande,38.5167,-28.7,58.68,75,98,4.65,PT,2022-01-30 01:25:11,overcast clouds
185,Port Shepstone,-30.7414,30.455,72.01,85,99,10.49,ZA,2022-01-30 01:26:03,overcast clouds
186,Namatanai,-3.6667,152.4333,83.44,73,100,5.17,PG,2022-01-30 01:26:03,light rain
187,Bon Accord,53.8335,-113.4187,35.37,78,100,5.84,CA,2022-01-30 01:26:04,overcast clouds
188,Lompoc,34.6391,-120.4579,65.12,59,0,5.75,US,2022-01-30 01:13:48,clear sky
189,Outjo,-20.1167,16.15,66.47,71,100,6.93,NA,2022-01-30 01:26:04,light rain
190,Port Macquarie,-31.4333,152.9167,81.9,62,22,7.18,AU,2022-01-30 01:23:19,few clouds
191,Turgutlu,38.4953,27.6997,41.27,71,52,2.77,TR,2022-01-30 01:26:05,broken clouds
192,Flinders,-34.5833,150.8552,86.81,69,97,8.46,AU,2022-01-30 01:26:05,overcast clouds
193,Hobyo,5.3505,48.5268,75.09,74,77,18.03,SO,2022-01-30 01:26:05,broken clouds
194,Requena,39.4883,-1.1004,40.78,30,0,3.47,ES,2022-01-30 01:26:05,clear sky
195,Geraldton,-28.7667,114.6,84.61,54,0,12.66,AU,2022-01-30 01:17:38,clear sky
196,Zhangjiakou,40.81,114.8794,19.11,50,39,2.53,CN,2022-01-30 01:26:06,light snow
197,Vila Franca Do Campo,37.7167,-25.4333,57.2,72,82,9.93,PT,2022-01-30 01:26:06,broken clouds
198,Zyryanka,65.75,150.85,-22.88,100,99,0.65,RU,2022-01-30 01:26:07,overcast clouds
199,Mahebourg,-20.4081,57.7,79.09,78,20,3.44,MU,2022-01-30 01:26:07,few clouds
200,Lewiston,44.1003,-70.2148,12.7,91,100,25.32,US,2022-01-30 01:26:06,heavy snow
201,Cardston,49.2,-113.3019,42.1,33,100,18.41,CA,2022-01-30 01:26:07,overcast clouds
202,Klaksvik,62.2266,-6.589,32.92,63,100,13.67,FO,2022-01-30 01:16:43,overcast clouds
203,Jos,9.9167,8.9,55.38,23,100,8.75,NG,2022-01-30 01:26:08,overcast clouds
204,Singaraja,-8.112,115.0882,81.97,79,100,3.53,ID,2022-01-30 01:18:03,overcast clouds
205,Macau,22.2006,113.5461,55.2,76,40,20.71,MO,2022-01-30 01:26:05,scattered clouds
206,Longyearbyen,78.2186,15.6401,6.64,66,0,14.97,SJ,2022-01-30 01:26:08,clear sky
207,Planaltina,-15.4528,-47.6142,71.89,94,100,2.89,BR,2022-01-30 01:26:09,overcast clouds
208,Tecoanapa,16.5167,-98.75,79.95,74,0,7.11,MX,2022-01-30 01:26:09,clear sky
209,Ponta Do Sol,32.6667,-17.1,63.23,48,15,6.02,PT,2022-01-30 01:24:26,few clouds
210,Nouadhibou,20.931,-17.0347,62.58,82,100,16.11,MR,2022-01-30 01:16:48,overcast clouds
211,Hambantota,6.1241,81.1185,73.74,100,20,1.14,LK,2022-01-30 01:26:10,few clouds
212,Butaritari,3.0707,172.7902,82.56,72,78,18.01,KI,2022-01-30 01:25:07,broken clouds
213,Burnie,-41.0667,145.9167,70.95,68,21,6.11,AU,2022-01-30 01:18:41,few clouds
214,Bilma,18.6853,12.9164,56.32,21,0,12.57,NE,2022-01-30 01:14:58,clear sky
